"","Item name","Number for sale","Price of item (cents)","Price of item (conventional format)","Name of Game"
"204","Genuine Crosslinker's Coil",391,23,"$0.23","Team Fortress 2"
"205","Genuine Tartan Shade",154,84,"$0.84","Team Fortress 2"
"206","Civic Duty Mk.II War Paint (Minimal Wear)",275,10,"$0.10","Team Fortress 2"
"207","Night Owl Mk.II War Paint (Factory New)",116,43,"$0.43","Team Fortress 2"
"208","Backwoods Boomstick Mk.II War Paint (Well-Worn)",12,19,"$0.19","Team Fortress 2"
"209","Forest Fire Mk.II War Paint (Battle Scarred)",19,18,"$0.18","Team Fortress 2"
"210","Plaid Potshotter Mk.II War Paint (Battle Scarred)",30,18,"$0.18","Team Fortress 2"
"211","Plaid Potshotter Mk.II Scattergun (Factory New)",31,29,"$0.29","Team Fortress 2"
"212","Strange Merc Stained War Paint (Field-Tested)",9,158,"$1.58","Team Fortress 2"
"213","Sharp Chest Pain",88,26,"$0.26","Team Fortress 2"
"214","The Shellmet",152,41,"$0.41","Team Fortress 2"
"215","The Cammy Jammies",64,51,"$0.51","Team Fortress 2"
"216","Vitals Vest",116,41,"$0.41","Team Fortress 2"
"217","Aloha Apparel",53,149,"$1.49","Team Fortress 2"
"218","Attack Packs",119,26,"$0.26","Team Fortress 2"
"219","Battle Boonie",97,21,"$0.21","Team Fortress 2"
"220","Civil Servant Mk.II Black Box (Field-Tested)",23,10,"$0.10","Team Fortress 2"
"221","Civic Duty Mk.II Soda Popper (Field-Tested)",67,10,"$0.10","Team Fortress 2"
"222","Civic Duty Mk.II Sniper Rifle (Field-Tested)",25,9,"$0.09","Team Fortress 2"
"223","Plaid Potshotter Mk.II Iron Bomber (Minimal Wear)",10,18,"$0.18","Team Fortress 2"
"224","Backwoods Boomstick Mk.II Sniper Rifle (Minimal Wear)",9,27,"$0.27","Team Fortress 2"
"225","Nutcracker Mk.II Panic Attack (Field-Tested)",2,21,"$0.21","Team Fortress 2"
"226","Mann Co. Supply Munition Series #103",81912,3,"$0.03","Team Fortress 2"
"227","Scoped Spartan",151,32,"$0.32","Team Fortress 2"
"228","Herald's Helm",118,35,"$0.35","Team Fortress 2"
"229","Bunnyhopper's Ballistics Vest",93,54,"$0.54","Team Fortress 2"
"230","Chicago Overcoat",88,109,"$1.09","Team Fortress 2"
"231","Bonk Batter's Backup",89,48,"$0.48","Team Fortress 2"
"232","The Gift Bringer",148,198,"$1.98","Team Fortress 2"
"233","Woolen Warmer",101,59,"$0.59","Team Fortress 2"
"234","Brain-Warming Wear",172,23,"$0.23","Team Fortress 2"
"235","Strange Elf Esteem",55,28,"$0.28","Team Fortress 2"
"236","Warhood",146,38,"$0.38","Team Fortress 2"
"237","Strange Airborne Attire",46,196,"$1.96","Team Fortress 2"
"238","Head Mounted Double Observatory",112,23,"$0.23","Team Fortress 2"
"239","Handy Canes",157,20,"$0.20","Team Fortress 2"
"240","The Upgrade",333,23,"$0.23","Team Fortress 2"
"241","Strange Speedster's Spandex",68,41,"$0.41","Team Fortress 2"
"242","The El Paso Poncho",66,50,"$0.50","Team Fortress 2"
"243","The Wide-Brimmed Bandito",82,50,"$0.50","Team Fortress 2"
"244","Showstopper",164,69,"$0.69","Team Fortress 2"
"245","The Wing Mann",104,24,"$0.24","Team Fortress 2"
"246","Heavy Tourism",23,127,"$1.27","Team Fortress 2"
"247","Festive SMG",97,21,"$0.21","Team Fortress 2"
"248","Killstreak Festive Shotgun",30,103,"$1.03","Team Fortress 2"
"249","Poacher's Safari Jacket",126,134,"$1.34","Team Fortress 2"
"250","Football Helmet",182,21,"$0.21","Team Fortress 2"
"251","Genuine MK 50",134,133,"$1.33","Team Fortress 2"
"252","Strange Shotgun",113,115,"$1.15","Team Fortress 2"
"253","Strange Sandman",503,24,"$0.24","Team Fortress 2"
"254","Strange Razorback",126,30,"$0.30","Team Fortress 2"
"255","Strange Enforcer",135,21,"$0.21","Team Fortress 2"
"256","Strange Rescue Ranger",164,32,"$0.32","Team Fortress 2"
"257","Strange Loch-n-Load",133,49,"$0.49","Team Fortress 2"
"258","Strange Baby Face's Blaster",97,27,"$0.27","Team Fortress 2"
"259","Strange Crit-a-Cola",92,27,"$0.27","Team Fortress 2"
"260","Strange Fire Axe",99,20,"$0.20","Team Fortress 2"
"261","Strange Ubersaw",110,140,"$1.40","Team Fortress 2"
"262","Strange Degreaser",189,65,"$0.65","Team Fortress 2"
"263","Gargoyle Case",480,78,"$0.78","Team Fortress 2"
"264","The Rotation Sensation",178,50,"$0.50","Team Fortress 2"
"265","Lurker's Leathers",169,74,"$0.74","Team Fortress 2"
"266","Wild West Waistcoat",74,58,"$0.58","Team Fortress 2"
"267","Rocket Operator",74,73,"$0.73","Team Fortress 2"
"268","Cadet Visor",178,25,"$0.25","Team Fortress 2"
"269","Taunt: Soldier's Requiem",59,308,"$3.08","Team Fortress 2"
"270","Taunt: Zoomin' Broom",96,485,"$4.85","Team Fortress 2"
"271","The Shooting Star",130,301,"$3.01","Team Fortress 2"
"272","Grim Tweeter",18,399,"$3.99","Team Fortress 2"
"273","Smokey Sombrero",153,26,"$0.26","Team Fortress 2"
"274","Prehistoric Pullover",111,121,"$1.21","Team Fortress 2"
"275","The Face of Mercy",101,35,"$0.35","Team Fortress 2"
"276","Lightning Rod Shotgun (Field-Tested)",136,19,"$0.19","Team Fortress 2"
"277","Strange Brick House Minigun (Field-Tested)",31,48,"$0.48","Team Fortress 2"
"278","Iron Wood Minigun (Field-Tested)",78,19,"$0.19","Team Fortress 2"
"279","Black Dahlia Pistol (Field-Tested)",51,20,"$0.20","Team Fortress 2"
"280","Woodsy Widowmaker SMG (Factory New)",65,19,"$0.19","Team Fortress 2"
"281","Strange Third Degree",161,19,"$0.19","Team Fortress 2"
"282","Genuine Jungle Booty",27,139,"$1.39","Team Fortress 2"
"283","Strange Apoco-Fists",332,21,"$0.21","Team Fortress 2"
"284","Strange Warrior's Spirit",302,18,"$0.18","Team Fortress 2"
"285","Cow Mangler 5000 Strangifier",134,18,"$0.18","Team Fortress 2"
"286","Local Hero Pistol (Field-Tested)",157,9,"$0.09","Team Fortress 2"
"287","Blasted Bombardier Stickybomb Launcher (Minimal Wear)",38,18,"$0.18","Team Fortress 2"
"288","Rooftop Wrangler Stickybomb Launcher (Field-Tested)",87,18,"$0.18","Team Fortress 2"
"289","Rooftop Wrangler Stickybomb Launcher (Well-Worn)",61,18,"$0.18","Team Fortress 2"
"290","American Pastoral Rocket Launcher (Battle Scarred)",80,11,"$0.11","Team Fortress 2"
"291","Team Sprayer SMG (Minimal Wear)",35,24,"$0.24","Team Fortress 2"
"292","Smalltown Bringdown Rocket Launcher (Factory New)",36,42,"$0.42","Team Fortress 2"
"293","Spruce Deuce Scattergun (Well-Worn)",69,18,"$0.18","Team Fortress 2"
"294","Hickory Hole-Puncher Pistol (Field-Tested)",68,18,"$0.18","Team Fortress 2"
"295","Citizen Pain Minigun (Field-Tested)",168,8,"$0.08","Team Fortress 2"
"296","Strange Winger",248,19,"$0.19","Team Fortress 2"
"297","Strange Haunted Vampyro",4,1400,"$14.00","Team Fortress 2"
"298","Professional Killstreak Iron Bomber",9,909,"$9.09","Team Fortress 2"
"299","Specialized Killstreak Iron Bomber",9,224,"$2.24","Team Fortress 2"
"300","Killstreak Festive SMG",9,97,"$0.97","Team Fortress 2"
"301","Torcher's Tabard",27,100,"$1.00","Team Fortress 2"
"302","Strange Cow Mangler 5000",133,25,"$0.25","Team Fortress 2"
